bowler,total_runs,ball,is_wicket,matches_bowling,overs,bowling_economy,bowling_average,bowling_strike_rate,wickets_per_match,dot_balls,dot_ball_percentage
A Ashish Reddy,400,270,19,20,45.0,8.88888888888889,21.05263157894737,14.210526315789474,0.95,79.0,29.259259259259256
A Badoni,37,25,2,5,4.166666666666667,8.879999999999999,18.5,12.5,0.4,5.0,20.0
A Chandila,245,234,11,12,39.0,6.282051282051282,22.272727272727273,21.272727272727273,0.9166666666666666,103.0,44.01709401709402
A Choudhary,144,108,5,5,18.0,8.0,28.8,21.6,1.0,42.0,38.88888888888889
A Dananjaya,47,25,0,1,4.166666666666667,11.28,47.0,25.0,0.0,6.0,24.0
A Flintoff,106,66,2,3,11.0,9.636363636363637,53.0,33.0,0.6666666666666666,20.0,30.303030303030305
A Kamboj,115,68,2,3,11.333333333333334,10.147058823529411,57.5,34.0,0.6666666666666666,19.0,27.941176470588236
A Kumble,1089,983,49,42,163.83333333333334,6.646998982706002,22.224489795918366,20.06122448979592,1.1666666666666667,374.0,38.046795523906404
A Mishra,4193,3444,183,162,574.0,7.304878048780488,22.91256830601093,18.81967213114754,1.1296296296296295,1185.0,34.40766550522648
A Mithun,477,312,8,16,52.0,9.173076923076923,59.625,39.0,0.5,90.0,28.846153846153843
A Nehra,2537,1974,121,88,329.0,7.711246200607903,20.96694214876033,16.31404958677686,1.375,798.0,40.42553191489361
A Nel,31,18,1,1,3.0,10.333333333333334,31.0,18.0,1.0,7.0,38.88888888888889
A Nortje,1614,1097,62,46,182.83333333333334,8.82771194165907,26.032258064516128,17.693548387096776,1.3478260869565217,401.0,36.5542388331814
A Singh,639,486,31,23,81.0,7.888888888888889,20.612903225806452,15.67741935483871,1.3478260869565217,189.0,38.88888888888889
A Symonds,694,540,23,30,90.0,7.711111111111111,30.17391304347826,23.47826086956522,0.7666666666666667,190.0,35.18518518518518
A Uniyal,67,38,3,2,6.333333333333333,10.578947368421053,22.333333333333332,12.666666666666666,1.5,8.0,21.052631578947366
A Zampa,562,425,30,20,70.83333333333333,7.934117647058824,18.733333333333334,14.166666666666666,1.5,129.0,30.352941176470587
AA Chavan,339,255,8,13,42.5,7.976470588235294,42.375,31.875,0.6153846153846154,100.0,39.21568627450981
AA Jhunjhunwala,130,88,1,10,14.666666666666666,8.863636363636363,130.0,88.0,0.1,27.0,30.681818181818183
AA Kazi,21,13,1,1,2.1666666666666665,9.692307692307693,21.0,13.0,1.0,2.0,15.384615384615385
AA Noffke,41,25,1,1,4.166666666666667,9.84,41.0,25.0,1.0,6.0,24.0
AB Agarkar,1174,820,33,42,136.66666666666666,8.590243902439026,35.57575757575758,24.848484848484848,0.7857142857142857,254.0,30.975609756097562
AB Dinda,2103,1589,82,75,264.8333333333333,7.940843297671492,25.646341463414632,19.378048780487806,1.0933333333333333,627.0,39.458779106356204
AB McDonald,263,188,14,10,31.333333333333332,8.393617021276595,18.785714285714285,13.428571428571429,1.4,50.0,26.595744680851062
AC Gilchrist,0,1,1,1,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,100.0
AC Thomas,416,327,16,15,54.5,7.63302752293578,26.0,20.4375,1.0666666666666667,126.0,38.53211009174312
AC Voges,76,56,1,7,9.333333333333334,8.142857142857142,76.0,56.0,0.14285714285714285,15.0,26.785714285714285
AD Mascarenhas,365,310,19,13,51.666666666666664,7.064516129032258,19.210526315789473,16.31578947368421,1.4615384615384615,124.0,40.0
AD Mathews,1095,807,28,44,134.5,8.141263940520446,39.107142857142854,28.821428571428573,0.6363636363636364,224.0,27.757125154894673
AD Russell,2691,1771,125,112,295.1666666666667,9.116883116883116,21.528,14.168,1.1160714285714286,584.0,32.975719932241674
AF Milne,339,217,9,10,36.166666666666664,9.373271889400922,37.666666666666664,24.11111111111111,0.9,69.0,31.797235023041477
AG Murtaza,322,269,12,12,44.833333333333336,7.182156133828996,26.833333333333332,22.416666666666668,1.0,101.0,37.54646840148699
AJ Finch,67,44,1,5,7.333333333333333,9.136363636363637,67.0,44.0,0.2,13.0,29.545454545454547
AJ Hosein,41,24,1,1,4.0,10.25,41.0,24.0,1.0,5.0,20.833333333333336
AJ Tye,1005,714,48,30,119.0,8.445378151260504,20.9375,14.875,1.6,208.0,29.13165266106443
AK Markram,173,123,2,14,20.5,8.439024390243903,86.5,61.5,0.14285714285714285,32.0,26.01626016260163
AL Menaria,144,113,3,12,18.833333333333332,7.646017699115045,48.0,37.666666666666664,0.25,40.0,35.39823008849557
AM Nayar,323,239,9,19,39.833333333333336,8.10878661087866,35.888888888888886,26.555555555555557,0.47368421052631576,69.0,28.870292887029287
AM Rahane,5,6,1,1,1.0,5.0,5.0,6.0,1.0,2.0,33.33333333333333
AM Salvi,205,156,7,7,26.0,7.884615384615385,29.285714285714285,22.285714285714285,1.0,57.0,36.53846153846153
AN Ahmed,515,362,15,17,60.333333333333336,8.535911602209945,34.333333333333336,24.133333333333333,0.8823529411764706,120.0,33.14917127071823
AP Dole,114,73,5,3,12.166666666666666,9.36986301369863,22.8,14.6,1.6666666666666667,20.0,27.397260273972602
AR Patel,3824,3152,131,148,525.3333333333334,7.279187817258883,29.19083969465649,24.061068702290076,0.8851351351351351,1021.0,32.392131979695435
AS Joseph,707,454,22,22,75.66666666666667,9.343612334801762,32.13636363636363,20.636363636363637,1.0,162.0,35.68281938325991
AS Rajpoot,844,567,24,29,94.5,8.931216931216932,35.166666666666664,23.625,0.8275862068965517,192.0,33.86243386243386
AS Raut,45,30,0,5,5.0,9.0,45.0,30.0,0.0,6.0,20.0
AS Roy,191,142,6,9,23.666666666666668,8.070422535211268,31.833333333333332,23.666666666666668,0.6666666666666666,48.0,33.80281690140845
AU Rashid,91,60,2,3,10.0,9.1,45.5,30.0,0.6666666666666666,20.0,33.33333333333333
AUK Pathan,63,41,0,3,6.833333333333333,9.219512195121952,63.0,41.0,0.0,9.0,21.951219512195124
Abdul Samad,113,55,2,5,9.166666666666666,12.327272727272728,56.5,27.5,0.4,11.0,20.0
Abdur Razzak,29,14,0,1,2.3333333333333335,12.428571428571427,29.0,14.0,0.0,5.0,35.714285714285715
Abhishek Sharma,396,278,11,26,46.333333333333336,8.546762589928058,36.0,25.272727272727273,0.4230769230769231,70.0,25.179856115107913
Akash Deep,324,175,8,8,29.166666666666668,11.108571428571429,40.5,21.875,1.0,55.0,31.428571428571427
Akash Madhwal,431,279,22,13,46.5,9.268817204301076,19.59090909090909,12.681818181818182,1.6923076923076923,83.0,29.749103942652326
Akash Singh,227,141,5,7,23.5,9.659574468085106,45.4,28.2,0.7142857142857143,53.0,37.5886524822695
Aman Hakim Khan,13,6,0,1,1.0,13.0,13.0,6.0,0.0,1.0,16.666666666666664
Anand Rajan,206,162,10,8,27.0,7.62962962962963,20.6,16.2,1.25,57.0,35.18518518518518
Ankit Sharma,453,375,12,21,62.5,7.248,37.75,31.25,0.5714285714285714,137.0,36.53333333333333
Ankit Soni,145,112,4,6,18.666666666666668,7.767857142857142,36.25,28.0,0.6666666666666666,37.0,33.035714285714285
Anureet Singh,636,430,21,22,71.66666666666667,8.874418604651162,30.285714285714285,20.476190476190474,0.9545454545454546,139.0,32.325581395348834
Arjun Tendulkar,117,83,4,5,13.833333333333334,8.457831325301205,29.25,20.75,0.8,30.0,36.144578313253014
Arshad Khan,282,153,6,9,25.5,11.058823529411764,47.0,25.5,0.6666666666666666,44.0,28.75816993464052
Arshad Khan (2),25,13,0,1,2.1666666666666665,11.53846153846154,25.0,13.0,0.0,4.0,30.76923076923077
Arshdeep Singh,2097,1453,84,65,242.16666666666666,8.659325533379215,24.964285714285715,17.297619047619047,1.2923076923076924,472.0,32.48451479697178
Atharva Taide,4,1,0,1,0.16666666666666666,24.0,4.0,1.0,0.0,,
Avesh Khan,2010,1390,81,62,231.66666666666666,8.676258992805757,24.814814814814813,17.160493827160494,1.3064516129032258,491.0,35.32374100719424
Azhar Mahmood,707,552,31,23,92.0,7.684782608695652,22.806451612903224,17.806451612903224,1.3478260869565217,199.0,36.05072463768116
Azmatullah Omarzai,194,131,4,7,21.833333333333332,8.885496183206108,48.5,32.75,0.5714285714285714,52.0,39.69465648854962
B Akhil,246,193,7,13,32.166666666666664,7.647668393782384,35.142857142857146,27.571428571428573,0.5384615384615384,60.0,31.088082901554404
B Chipli,20,6,0,1,1.0,20.0,20.0,6.0,0.0,1.0,16.666666666666664
B Geeves,91,49,2,2,8.166666666666666,11.142857142857144,45.5,24.5,1.0,15.0,30.612244897959183
B Kumar,5051,4060,195,176,676.6666666666666,7.464532019704434,25.902564102564103,20.82051282051282,1.1079545454545454,1632.0,40.19704433497537
B Laughlin,284,179,10,9,29.833333333333332,9.5195530726257,28.4,17.9,1.1111111111111112,42.0,23.463687150837988
B Lee,1126,916,30,38,152.66666666666666,7.3755458515283845,37.53333333333333,30.533333333333335,0.7894736842105263,374.0,40.8296943231441
B Stanlake,200,150,7,6,25.0,8.0,28.571428571428573,21.428571428571427,1.1666666666666667,64.0,42.66666666666667
BA Bhatt,408,303,13,15,50.5,8.07920792079208,31.384615384615383,23.307692307692307,0.8666666666666667,93.0,30.693069306930692
BA Stokes,1023,723,31,38,120.5,8.489626556016598,33.0,23.322580645161292,0.8157894736842105,228.0,31.535269709543567
BAW Mendis,306,248,9,10,41.333333333333336,7.403225806451612,34.0,27.555555555555557,0.9,76.0,30.64516129032258
BB Sran,767,516,20,24,86.0,8.918604651162791,38.35,25.8,0.8333333333333334,168.0,32.55813953488372
BCJ Cutting,430,288,12,17,48.0,8.958333333333334,35.833333333333336,24.0,0.7058823529411765,77.0,26.73611111111111
BE Hendricks,239,157,11,7,26.166666666666668,9.13375796178344,21.727272727272727,14.272727272727273,1.5714285714285714,52.0,33.12101910828025
BJ Hodge,310,238,18,20,39.666666666666664,7.815126050420169,17.22222222222222,13.222222222222221,0.9,75.0,31.512605042016805
BJ Rohrer,12,7,0,1,1.1666666666666667,10.285714285714285,12.0,7.0,0.0,1.0,14.285714285714285
BMAJ Mendis,36,30,1,2,5.0,7.2,36.0,30.0,0.5,11.0,36.666666666666664
BW Hilfenhaus,497,390,23,17,65.0,7.6461538461538465,21.608695652173914,16.956521739130434,1.3529411764705883,173.0,44.35897435897436
Basil Thampi,862,539,26,25,89.83333333333333,9.595547309833025,33.15384615384615,20.73076923076923,1.04,152.0,28.200371057513912
Bipul Sharma,581,436,22,28,72.66666666666667,7.9954128440366965,26.40909090909091,19.818181818181817,0.7857142857142857,131.0,30.045871559633024
C Ganapathy,13,6,0,1,1.0,13.0,13.0,6.0,0.0,1.0,16.666666666666664
C Green,675,462,20,29,77.0,8.766233766233766,33.75,23.1,0.6896551724137931,149.0,32.25108225108225
C Munro,15,12,0,2,2.0,7.5,15.0,12.0,0.0,5.0,41.66666666666667
C Nanda,58,50,2,3,8.333333333333334,6.959999999999999,29.0,25.0,0.6666666666666666,13.0,26.0
C Sakariya,610,460,20,19,76.66666666666667,7.956521739130435,30.5,23.0,1.0526315789473684,143.0,31.08695652173913
C de Grandhomme,323,230,7,19,38.333333333333336,8.426086956521738,46.142857142857146,32.857142857142854,0.3684210526315789,58.0,25.217391304347824
CH Gayle,755,584,19,38,97.33333333333333,7.756849315068494,39.73684210526316,30.736842105263158,0.5,180.0,30.82191780821918
CH Morris,2377,1801,107,81,300.1666666666667,7.91893392559689,22.214953271028037,16.83177570093458,1.3209876543209877,668.0,37.09050527484731
CJ Anderson,525,315,14,22,52.5,10.0,37.5,22.5,0.6363636363636364,79.0,25.07936507936508
CJ Dala,34,19,0,1,3.1666666666666665,10.736842105263158,34.0,19.0,0.0,7.0,36.84210526315789
CJ Green,24,17,0,1,2.8333333333333335,8.470588235294118,24.0,17.0,0.0,6.0,35.294117647058826
CJ Jordan,1111,717,36,34,119.5,9.297071129707113,30.86111111111111,19.916666666666668,1.0588235294117647,206.0,28.730822873082285
CJ McKay,60,42,1,2,7.0,8.571428571428571,60.0,42.0,0.5,14.0,33.33333333333333
CK Kapugedera,49,17,0,3,2.8333333333333335,17.294117647058822,49.0,17.0,0.0,,
CK Langeveldt,199,165,13,7,27.5,7.236363636363636,15.307692307692308,12.692307692307692,1.8571428571428572,69.0,41.81818181818181
CL White,86,46,1,6,7.666666666666667,11.217391304347826,86.0,46.0,0.16666666666666666,8.0,17.391304347826086
CR Brathwaite,384,266,16,16,44.333333333333336,8.661654135338345,24.0,16.625,1.0,74.0,27.819548872180448
CR Woakes,674,463,31,21,77.16666666666667,8.734341252699783,21.741935483870968,14.935483870967742,1.4761904761904763,161.0,34.77321814254859
CRD Fernando,306,249,19,10,41.5,7.373493975903615,16.105263157894736,13.105263157894736,1.9,99.0,39.75903614457831
CV Varun,2042,1624,85,70,270.6666666666667,7.544334975369457,24.023529411764706,19.105882352941176,1.2142857142857142,582.0,35.83743842364532
D Brevis,8,3,1,1,0.5,16.0,8.0,3.0,1.0,1.0,33.33333333333333
D Jansen,53,28,1,1,4.666666666666667,11.357142857142856,53.0,28.0,1.0,6.0,21.428571428571427
D Kalyankrishna,88,50,2,3,8.333333333333334,10.559999999999999,44.0,25.0,0.6666666666666666,10.0,20.0
D Pretorius,242,166,7,7,27.666666666666668,8.74698795180723,34.57142857142857,23.714285714285715,1.0,42.0,25.301204819277107
D Salunkhe,80,51,1,5,8.5,9.411764705882353,80.0,51.0,0.2,13.0,25.49019607843137
D Wiese,447,307,17,15,51.166666666666664,8.736156351791532,26.294117647058822,18.058823529411764,1.1333333333333333,82.0,26.710097719869708
D du Preez,56,43,4,2,7.166666666666667,7.813953488372093,14.0,10.75,2.0,18.0,41.86046511627907
DA Warner,2,2,0,1,0.3333333333333333,6.0,2.0,2.0,0.0,,
DAJ Bracewell,32,25,3,1,4.166666666666667,7.68,10.666666666666666,8.333333333333334,3.0,10.0,40.0
DB Ravi Teja,28,18,1,2,3.0,9.333333333333334,28.0,18.0,0.5,4.0,22.22222222222222
DE Bollinger,716,600,43,27,100.0,7.16,16.651162790697676,13.953488372093023,1.5925925925925926,254.0,42.333333333333336
DG Nalkande,150,89,6,6,14.833333333333334,10.112359550561797,25.0,14.833333333333334,1.0,22.0,24.719101123595504
DJ Bravo,4436,3296,207,158,549.3333333333334,8.075242718446601,21.429951690821255,15.922705314009661,1.3101265822784811,998.0,30.279126213592235
DJ Harris,26,18,0,2,3.0,8.666666666666666,26.0,18.0,0.0,4.0,22.22222222222222
DJ Hooda,535,384,10,33,64.0,8.359375,53.5,38.4,0.30303030303030304,101.0,26.302083333333332
DJ Hussey,485,323,10,26,53.833333333333336,9.009287925696594,48.5,32.3,0.38461538461538464,86.0,26.625386996904027
DJ Mitchell,97,51,1,4,8.5,11.411764705882353,97.0,51.0,0.25,5.0,9.803921568627452
DJ Muthuswami,108,84,4,6,14.0,7.714285714285714,27.0,21.0,0.6666666666666666,44.0,52.38095238095239
DJ Thornely,40,44,3,4,7.333333333333333,5.454545454545455,13.333333333333334,14.666666666666666,0.75,19.0,43.18181818181818
DJ Willey,277,221,7,11,36.833333333333336,7.520361990950226,39.57142857142857,31.571428571428573,0.6363636363636364,79.0,35.74660633484163
DJG Sammy,354,244,14,19,40.666666666666664,8.704918032786885,25.285714285714285,17.428571428571427,0.7368421052631579,72.0,29.508196721311474
DJM Short,23,18,1,2,3.0,7.666666666666667,23.0,18.0,0.5,7.0,38.88888888888889
DL Chahar,2243,1746,79,81,291.0,7.707903780068729,28.39240506329114,22.10126582278481,0.9753086419753086,708.0,40.549828178694156
DL Vettori,894,785,34,34,130.83333333333334,6.83312101910828,26.294117647058822,23.08823529411765,1.0,270.0,34.394904458598724
DNT Zoysa,100,69,2,3,11.5,8.695652173913043,50.0,34.5,0.6666666666666666,24.0,34.78260869565217
DP Nannes,815,689,38,29,114.83333333333333,7.097242380261249,21.44736842105263,18.13157894736842,1.3103448275862069,285.0,41.36429608127721
DP Vijaykumar,205,159,4,9,26.5,7.735849056603773,51.25,39.75,0.4444444444444444,63.0,39.62264150943396
DR Sams,528,389,15,16,64.83333333333333,8.143958868894602,35.2,25.933333333333334,0.9375,142.0,36.50385604113111
DR Smith,825,557,27,46,92.83333333333333,8.88689407540395,30.555555555555557,20.62962962962963,0.5869565217391305,168.0,30.16157989228007
DS Kulkarni,2513,1876,91,92,312.6666666666667,8.03731343283582,27.615384615384617,20.615384615384617,0.9891304347826086,742.0,39.55223880597015
DT Christian,1218,922,40,49,153.66666666666666,7.926247288503254,30.45,23.05,0.8163265306122449,296.0,32.10412147505423
DW Steyn,2583,2282,105,95,380.3333333333333,6.791411042944786,24.6,21.733333333333334,1.105263157894737,1019.0,44.65381244522349
F du Plessis,16,6,0,1,1.0,16.0,16.0,6.0,0.0,,
FA Allen,136,91,2,4,15.166666666666666,8.967032967032967,68.0,45.5,0.5,26.0,28.57142857142857
FH Edwards,160,150,6,6,25.0,6.4,26.666666666666668,25.0,1.0,70.0,46.666666666666664
FY Fazal,20,12,1,2,2.0,10.0,20.0,12.0,0.5,1.0,8.333333333333332
Fazalhaq Farooqi,229,162,6,7,27.0,8.481481481481481,38.166666666666664,27.0,0.8571428571428571,56.0,34.5679012345679
G Coetzee,357,216,13,10,36.0,9.916666666666666,27.46153846153846,16.615384615384617,1.3,71.0,32.870370370370374
GB Hogg,585,466,25,21,77.66666666666667,7.532188841201716,23.4,18.64,1.1904761904761905,159.0,34.12017167381974
GC Viljoen,229,146,8,6,24.333333333333332,9.41095890410959,28.625,18.25,1.3333333333333333,43.0,29.45205479452055
GD McGrath,366,329,14,14,54.833333333333336,6.674772036474164,26.142857142857142,23.5,1.0,153.0,46.504559270516715
GD Phillips,40,31,2,4,5.166666666666667,7.741935483870967,20.0,15.5,0.5,10.0,32.25806451612903
GH Vihari,48,43,1,6,7.166666666666667,6.697674418604651,48.0,43.0,0.16666666666666666,17.0,39.53488372093023
GHS Garton,136,97,3,5,16.166666666666668,8.412371134020617,45.333333333333336,32.333333333333336,0.6,31.0,31.958762886597935
GJ Maxwell,1311,965,41,79,160.83333333333334,8.151295336787564,31.975609756097562,23.536585365853657,0.5189873417721519,301.0,31.191709844559583
GR Napier,28,24,1,1,4.0,7.0,28.0,24.0,1.0,8.0,33.33333333333333
GS Sandhu,86,48,1,2,8.0,10.75,86.0,48.0,0.5,9.0,18.75
Gagandeep Singh,142,84,3,4,14.0,10.142857142857142,47.333333333333336,28.0,0.75,25.0,29.761904761904763
Gulbadin Naib,12,6,0,1,1.0,12.0,12.0,6.0,0.0,1.0,16.666666666666664
Gurkeerat Singh,97,82,5,6,13.666666666666666,7.097560975609756,19.4,16.4,0.8333333333333334,26.0,31.70731707317073
Gurnoor Brar,42,21,0,1,3.5,12.0,42.0,21.0,0.0,7.0,33.33333333333333
H Sharma,62,30,0,2,5.0,12.4,62.0,30.0,0.0,2.0,6.666666666666667
HF Gurney,239,169,7,8,28.166666666666668,8.485207100591715,34.142857142857146,24.142857142857142,0.875,50.0,29.585798816568047
HH Pandya,2196,1485,70,93,247.5,8.872727272727273,31.37142857142857,21.214285714285715,0.7526881720430108,481.0,32.390572390572395
HR Shokeen,320,213,5,13,35.5,9.014084507042254,64.0,42.6,0.38461538461538464,78.0,36.61971830985916
HV Patel,3215,2284,151,103,380.6666666666667,8.44570928196147,21.29139072847682,15.125827814569536,1.4660194174757282,710.0,31.08581436077058
Harbhajan Singh,4101,3496,161,160,582.6666666666666,7.0383295194508015,25.472049689440993,21.714285714285715,1.00625,1263.0,36.12700228832952
Harmeet Singh,747,574,31,28,95.66666666666667,7.808362369337979,24.096774193548388,18.516129032258064,1.1071428571428572,201.0,35.01742160278746
Harpreet Brar,907,692,25,39,115.33333333333333,7.864161849710983,36.28,27.68,0.6410256410256411,229.0,33.09248554913295
Harshit Rana,590,403,27,19,67.16666666666667,8.784119106699752,21.85185185185185,14.925925925925926,1.4210526315789473,148.0,36.72456575682382
I Malhotra,23,6,0,1,1.0,23.0,23.0,6.0,0.0,,
I Sharma,3255,2429,96,110,404.8333333333333,8.04034582132565,33.90625,25.302083333333332,0.8727272727272727,969.0,39.89296006587073
I Udana,286,182,8,10,30.333333333333332,9.428571428571429,35.75,22.75,0.8,45.0,24.725274725274726
IC Pandey,609,469,19,24,78.16666666666667,7.791044776119403,32.05263157894737,24.68421052631579,0.7916666666666666,212.0,45.20255863539446
IC Porel,42,26,1,1,4.333333333333333,9.692307692307693,42.0,26.0,1.0,7.0,26.923076923076923
IK Pathan,2711,2113,99,101,352.1666666666667,7.698059630856601,27.383838383838384,21.343434343434343,0.9801980198019802,835.0,39.51727401798391
IS Sodhi,204,182,9,8,30.333333333333332,6.725274725274725,22.666666666666668,20.22222222222222,1.125,64.0,35.16483516483517
Imran Tahir,1729,1340,86,59,223.33333333333334,7.741791044776119,20.1046511627907,15.581395348837209,1.4576271186440677,437.0,32.61194029850746
Iqbal Abdulla,1125,943,45,48,157.16666666666666,7.158006362672323,25.0,20.955555555555556,0.9375,331.0,35.100742311770944
