Team,Matches,Wins,Losses,Win_Loss_Ratio
RCB,255,121,134,0.9029850746268657
DD,161,67,94,0.7127659574468085
KXIP,190,85,105,0.8095238095238095
MI,261,142,119,1.1932773109243697
KKR,251,130,121,1.0743801652892562
RR,221,110,111,0.990990990990991
SRH,257,116,141,0.8226950354609929
CSK,238,138,100,1.38
KTK,14,6,8,0.75
PW,46,12,34,0.35294117647058826
GL,30,13,17,0.7647058823529411
RPS,30,15,15,1.0
DC,91,45,46,0.9782608695652174
PBKS,56,24,32,0.75
LSG,44,24,20,1.2
GT,45,28,17,1.6470588235294117
